Event [id: 310794815, msg: Some event for John Smith, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 14.59.46]
Event [id: 1879527961, msg: Some event for 2, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 14.59.48]
Event [id: 1783640743, msg: Some event for 3, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 14.59.49]
Event [id: 418201376, msg: Some event for 4, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 14.59.50]
Event [id: 1153661222, msg: Some event for 5, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 14.59.51]
Event [id: 1696421790, msg: Some event for John Smith, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.04.14]
Event [id: 24850104, msg: Some event for John Smith, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.05.54]
Event [id: 1137271185, msg: Some event for 2, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.05.55]
Event [id: 1000885287, msg: Some event for 3, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.05.57]
Event [id: 87165216, msg: Some event for 4, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.05.58]
Event [id: 378835366, msg: Some event for 5, greeting: Aleksandr_Reshetnev, localDateTime: 03.11.2015 15.05.59]
